time_ms,temp_C,pressure_Pa,altitude_m,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,angleX_deg,angleY_deg,angleZ_deg,latitude,longitude,distance_m
533522,20.64,101914.68,81.09,-9.792,-0.048,0.515,-0.042,0.007,0.018,-7.342,87.014,589.025,55.435265,-5.68591,434977.72
533771,20.64,101914.44,81.11,-9.785,-0.055,0.565,-0.042,0.007,0.018,-7.486,86.976,589.291,55.435265,-5.68591,434977.72
534020,20.64,101914.77,81.09,-9.78,-0.081,0.539,-0.042,0.007,0.018,-7.774,86.996,589.554,55.435265,-5.68591,434977.72
534270,20.64,101914.93,81.07,-9.795,-0.084,0.565,-0.042,0.007,0.019,-7.681,86.953,589.821,55.435265,-5.68591,434977.72
534523,20.64,101915.09,81.06,-9.778,-0.043,0.541,-0.042,0.009,0.02,-7.954,86.939,590.09,55.435265,-5.68591,434977.72
534772,20.64,101914.77,81.09,-9.799,-0.045,0.51,-0.042,0.007,0.018,-7.603,86.974,590.358,55.435265,-5.68591,434977.72
535018,20.65,101914.85,81.08,-9.776,-0.034,0.512,-0.043,0.008,0.018,-7.132,86.992,590.621,55.435265,-5.68591,434977.72
535273,20.64,101914.28,81.13,-9.785,-0.074,0.522,-0.042,0.007,0.019,-7.436,86.972,590.892,55.435265,-5.68591,434977.72
535520,20.64,101914.28,81.13,-9.792,-0.089,0.563,-0.042,0.008,0.018,-7.235,86.96,591.157,55.435265,-5.68591,434977.72
535770,20.64,101914.11,81.14,-9.778,-0.057,0.524,-0.043,0.007,0.02,-7.58,86.972,591.429,55.435265,-5.68591,434977.72
536023,20.65,101914.53,81.11,-9.787,-0.074,0.546,-0.042,0.007,0.019,-7.766,86.944,591.7,55.435265,-5.68591,434977.72
536272,20.64,101914.44,81.11,-9.785,-0.062,0.534,-0.042,0.007,0.019,-7.651,86.971,591.969,55.435265,-5.68591,434977.72
536520,20.65,101914.69,81.09,-9.79,-0.055,0.522,-0.042,0.008,0.019,-7.491,86.94,592.23,55.435265,-5.68591,434977.72
536769,20.65,101915.02,81.07,-9.773,-0.072,0.541,-0.042,0.007,0.019,-7.58,86.961,592.498,55.435265,-5.68591,434977.72
537020,20.65,101915.02,81.07,-9.783,-0.065,0.512,-0.042,0.008,0.018,-7.239,86.979,592.768,55.435265,-5.68591,434977.72
537270,20.65,101915.23,81.05,-9.783,-0.062,0.546,-0.042,0.007,0.018,-7.467,86.976,593.037,55.435265,-5.68591,434977.72
537523,20.65,101915.83,81,-9.783,-0.101,0.546,-0.042,0.007,0.019,-7.597,87.002,593.304,55.435265,-5.68591,434977.72
537772,20.65,101915.89,80.99,-9.78,-0.065,0.522,-0.041,0.007,0.019,-7.039,86.969,593.574,55.435265,-5.68591,434977.72
538020,20.65,101916.05,80.98,-9.792,-0.084,0.546,-0.042,0.007,0.019,-7.95,86.972,593.836,55.435265,-5.68591,434977.72
538269,20.65,101916.05,80.98,-9.795,-0.065,0.539,-0.041,0.007,0.018,-7.549,86.98,594.104,55.435265,-5.68591,434977.72
538523,20.65,101915.56,81.02,-9.792,-0.055,0.536,-0.043,0.007,0.019,-7.604,86.954,594.375,55.435265,-5.68591,434977.72
538772,20.65,101915.07,81.06,-9.785,-0.06,0.517,-0.043,0.007,0.019,-7.66,86.968,594.642,55.435265,-5.68591,434977.72
539022,20.65,101915.56,81.02,-9.792,-0.045,0.522,-0.042,0.007,0.019,-7.514,86.985,594.915,55.435265,-5.68591,434977.72
539272,20.65,101915.81,81,-9.792,-0.069,0.565,-0.041,0.007,0.018,-7.756,86.96,595.182,55.435265,-5.68591,434977.72
539519,20.65,101915.65,81.01,-9.787,-0.074,0.546,-0.042,0.008,0.018,-7.296,86.987,595.449,55.435265,-5.68591,434977.72
539768,20.65,101915.9,80.99,-9.785,-0.065,0.527,-0.043,0.007,0.018,-7.717,86.994,595.717,55.435265,-5.68591,434977.72
540021,20.65,101915.9,80.99,-9.78,-0.062,0.551,-0.042,0.007,0.019,-7.837,86.969,595.99,55.435265,-5.68591,434977.72
540270,20.65,101915.73,81.01,-9.804,-0.084,0.517,-0.043,0.008,0.018,-7.81,86.974,596.258,55.435265,-5.68591,434977.72
540524,20.65,101915.08,81.06,-9.783,-0.06,0.522,-0.041,0.007,0.019,-7.561,86.965,596.531,55.435265,-5.68591,434977.72
540773,20.65,101915.57,81.02,-9.804,-0.041,0.558,-0.042,0.008,0.018,-7.541,86.954,596.8,55.435265,-5.68591,434977.72
541022,20.66,101916.28,80.96,-9.785,-0.057,0.52,-0.043,0.007,0.02,-7.434,87.008,597.063,55.435265,-5.68591,434977.72
541271,20.66,101916.44,80.95,-9.768,-0.06,0.543,-0.042,0.008,0.019,-7.659,86.966,597.333,55.435265,-5.68591,434977.72
541525,20.66,101917.51,80.86,-9.787,-0.079,0.541,-0.043,0.008,0.018,-7.63,86.95,597.602,55.435265,-5.68591,434977.72
541768,20.66,101917.02,80.9,-9.761,-0.062,0.517,-0.041,0.008,0.018,-7.515,86.959,597.866,55.435265,-5.68591,434977.72
542019,20.66,101917.51,80.86,-9.79,-0.086,0.546,-0.042,0.007,0.019,-7.914,87.004,598.14,55.435265,-5.68591,434977.72
542269,20.66,101917.67,80.85,-9.799,-0.069,0.546,-0.042,0.007,0.019,-7.233,87.005,598.409,55.435265,-5.68591,434977.72
542522,20.66,101918.33,80.79,-9.787,-0.05,0.558,-0.042,0.006,0.019,-7.581,86.992,598.68,55.435265,-5.68591,434977.72
542771,20.66,101918,80.82,-9.771,-0.062,0.546,-0.042,0.008,0.019,-7.642,86.956,598.949,55.435265,-5.68591,434977.72
