2026-06-30T23:47:47.837,timestamp_ms,temp_C,pressure_Pa,altitude_m,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,angleX_deg,angleY_deg,angleZ_deg,latitude,longitude,distance_m,uva_uwcm2,uvb_uwcm2,uvc_uwcm2,medical_triggered
2026-06-30T23:48:07.030,3788349,25.54,101827.6,-10.58,-6.651,-64.062,-3.347,0.321,0.278,0.31,-79.127,1.502,-2289.685,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.030,3788428,25.54,101822.48,-10.16,5.902,-63.98,-10.872,0.164,0.275,0.214,-78.81,2.587,-2288.715,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.031,3788506,25.54,101814.94,-9.53,0.96,-64.617,-9.565,0.238,0.236,0.517,-78.158,3.551,-2286.404,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.032,3788662,25.54,101795.69,-7.93,-0.536,-63.135,-8.25,0.151,0.377,0.502,-77.225,6.788,-2281.917,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.033,3788740,25.54,101781.81,-6.78,-0.038,-62.625,-8.133,0.115,0.407,0.526,-77.127,8.437,-2279.565,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.033,3788818,25.54,101763.91,-5.3,0.364,-62.307,-7.954,0.081,0.456,0.545,-77.17,10.283,-2277.098,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.034,3788897,25.54,101743.27,-3.59,0.702,-61.938,-7.843,0.047,0.466,0.522,-77.367,12.107,-2274.764,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.035,3789218,25.53,101603.97,7.97,2.224,-60.116,-7.082,0.005,0.058,0.132,-77.668,12.865,-2272.333,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.036,3789296,25.53,101562.76,11.39,2.468,-59.482,-6.914,0.002,-0.114,0.001,-78.036,12.062,-2272.328,55.435249,-5.685896,434976.59,0,0,0,1
2026-06-30T23:48:07.036,3789453,25.53,101474.27,18.74,2.219,-57.727,-6.498,-0.025,-0.359,-0.197,-78.92,8.58,-2273.768,55.435249,-5.685896,434976.59,0,0,0,1
