time_ms,temp_C,pressure_Pa,altitude_m,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,angleX_deg,angleY_deg,angleZ_deg,latitude,longitude,distance_m
0.0,18.08,101622.5,105.26,0.565,-0.177,-9.804,0.027,-0.073,0.015,-9.785,-3.195,-19.417,54.303349,-5.582283,330918.91
250.0,18.08,101622.09,105.3,0.632,-0.086,-9.778,-0.009,0.017,0.041,-18.55,-3.657,-19.375,54.303349,-5.582283,330918.91
500.0,18.09,101622.67,105.25,0.637,0.057,-9.857,-0.067,0.009,-0.044,78.335,-3.884,-19.378,54.303349,-5.582283,330918.91
754.0,18.09,101622.89,105.23,0.682,0.134,-9.708,-0.048,0.021,-0.003,87.87,-3.623,-19.148,54.30336,-5.582278,330920.12
1001.0,18.09,101623.31,105.2,0.781,0.098,-9.742,-0.076,0.065,0.004,44.536,-3.283,-18.859,54.30336,-5.582278,330920.12
1251.0,18.09,101622.66,105.25,0.821,0.148,-9.996,-0.111,-0.016,-0.014,58.02,-3.667,-18.632,54.30336,-5.582278,330920.12
1501.0,18.09,101622.58,105.26,0.752,0.113,-9.965,-0.006,-0.014,0.044,60.906,-3.67,-18.336,54.30336,-5.582278,330920.12
1750.0,18.09,101622.74,105.24,0.697,0.089,-9.965,-0.117,0.012,0.017,87.744,-3.797,-18.168,54.303368,-5.58228,330920.72
1997.0,18.1,101622.8,105.24,0.666,0.196,-10.089,-0.011,0.004,-0.014,118.673,-3.752,-18.044,54.303368,-5.58228,330920.72
2247.0,18.1,101622.56,105.26,0.749,-0.17,-9.946,0.038,0.019,0.067,73.785,-3.489,-17.807,54.303368,-5.58228,330920.72
2497.0,18.1,101622.4,105.27,0.804,-0.084,-10.036,0.046,0.043,0.06,15.97,-3.594,-17.358,54.303368,-5.58228,330920.72
2751.0,18.1,101622.66,105.25,0.721,-0.022,-9.838,0.0,-0.02,0.048,-21.634,-4.13,-17.136,54.30336,-5.582263,330920.72
3000.0,18.1,101623.03,105.22,0.73,-0.019,-9.644,-0.064,0.011,0.052,-64.586,-4.239,-16.928,54.30336,-5.582263,330920.72
3250.0,18.11,101623.61,105.17,0.845,-0.065,-9.713,-0.092,0.056,-0.017,-80.065,-4.383,-16.672,54.30336,-5.582263,330920.72
3501.0,18.11,101623.77,105.16,0.742,-0.086,-9.895,-0.027,-0.022,0.044,-82.867,-4.571,-16.613,54.30336,-5.582263,330920.72
3749.0,18.11,101625.16,105.04,0.761,-0.034,-9.792,-0.01,0.028,0.038,-55.307,-4.438,-16.3,54.30336,-5.582276,330920.19
4000.0,18.11,101625.33,105.03,0.881,-0.002,-9.898,-0.069,0.011,0.044,-58.149,-4.369,-15.952,54.30336,-5.582276,330920.19
4250.0,18.11,101624.73,105.08,0.797,-0.007,-9.668,0.002,0.031,0.007,-58.106,-4.469,-15.631,54.30336,-5.582276,330920.19
4500.0,18.11,101624.56,105.09,0.85,-0.256,-9.881,0.007,-0.007,0.019,-129.326,-4.621,-15.374,54.30336,-5.582276,330920.19
4750.0,18.11,101623.75,105.16,0.91,-0.069,-9.907,-0.052,0.005,0.043,-158.38,-4.759,-15.1,54.303368,-5.582298,330920.03
5002.0,18.11,101623.34,105.19,0.867,-0.067,-9.732,-0.049,0.042,-0.031,-168.388,-4.858,-15.178,54.303368,-5.582298,330920.03
5252.0,18.12,101623.77,105.16,0.903,-0.187,-9.795,-0.054,0.007,0.005,-174.946,-4.997,-14.971,54.303368,-5.582298,330920.03
5502.0,18.12,101624.17,105.12,0.888,-0.23,-9.96,-0.023,-0.008,0.011,-177.764,-5.064,-14.925,54.303368,-5.582298,330920.03
5750.0,18.12,101624.17,105.12,0.965,-0.213,-9.955,-0.062,0.005,0.019,-178.712,-5.031,-14.693,54.303371,-5.582313,330919.75
6002.0,18.12,101624.34,105.11,0.919,-0.168,-9.946,-0.003,0.005,0.036,-179.188,-4.984,-14.406,54.303371,-5.582313,330919.75
6252.0,18.12,101623.91,105.15,0.876,-0.227,-9.73,0.011,0.017,0.07,-178.824,-4.982,-13.939,54.303371,-5.582313,330919.75
6502.0,18.12,101622.93,105.23,0.994,-0.256,-9.936,-0.078,-0.002,0.004,-178.763,-5.065,-13.546,54.303371,-5.582313,330919.75
6751.0,18.12,101621.62,105.34,0.917,-0.278,-9.795,-0.05,-0.022,0.001,-179.082,-5.192,-13.377,54.303391,-5.582343,330920.28
7000.0,18.12,101621.06,105.38,0.91,-0.364,-9.831,0.029,-0.037,0.04,-178.883,-5.268,-13.294,54.303391,-5.582343,330920.28
7250.0,18.12,101620.91,105.4,0.84,-0.357,-9.625,-0.023,0.017,0.044,-178.883,-5.289,-12.909,54.303391,-5.582343,330920.28
7500.0,18.13,101620.02,105.47,0.843,-0.148,-9.742,-0.056,0.026,0.0,-165.224,-5.167,-13.09,54.303391,-5.582343,330920.28
7754.0,18.13,101619.2,105.54,0.991,-0.472,-10.039,-0.05,-0.006,-0.043,-173.044,-5.289,-12.819,54.303391,-5.582356,330919.75
8001.0,18.13,101619.09,105.55,1.01,-0.311,-9.898,-0.016,0.011,0.046,-175.732,-5.25,-12.464,54.303391,-5.582356,330919.75
8251.0,18.13,101619.34,105.52,0.804,-0.345,-9.718,0.002,-0.006,0.012,-177.671,-5.423,-12.333,54.303391,-5.582356,330919.75
