#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,latitude,longitude
6,12440,2,IGNIS,-1.77,-59,7,3,   boost,12.75,101932,97.64388817,0.33,9.8,19,3.95,0.01,3.95,51.049200,-1.398100
6,12440,2,IGNIS,-1.77,-58,9,3,   boost,12.75,101932,97.64388817,0.33,9.8,19,3.95,0.01,3.95,51.049200,-1.398100
6,12440,2,IGNIS,-0.76,-64,8,3,   boost,6.48,101874,102.4345595,5.14,22.68,19,3.95,0.01,3.95,51.049202,-1.398098
6,12440,2,IGNIS,0,-61,13,3,   boost,7.31,101646,121.2882845,24.05,26.64,19,3.95,0.01,3.95,51.049205,-1.398094
6,12440,2,IGNIS,0,-61,4,3,   boost,7.31,101646,121.2882845,24.05,26.64,19,3.95,0.01,3.95,51.049205,-1.398094
6,12440,2,IGNIS,0.1,-64,7,3,   boost,9.46,101592,125.7586553,28.54,27.46,19,3.95,0.01,3.95,51.049208,-1.398090
6,12440,2,IGNIS,0.21,-70,10,3,   boost,9.06,101548,129.4026023,32.19,30.34,19,3.95,0.01,3.95,51.049212,-1.398085
6,12440,2,IGNIS,0.32,-76,9,3,   boost,5.62,101509,132.6335334,35.43,31.34,19,3.95,0.01,3.95,51.049217,-1.398079
6,12440,2,IGNIS,0.43,-76,6,3,   boost,1.74,101458,136.8601141,39.67,31.54,19,3.95,0.01,3.95,51.049223,-1.398072
6,12440,2,IGNIS,0.54,-73,7,3,   boost,-1.02,101419,140.0933661,42.92,31.47,19,3.94,0.01,3.95,51.049230,-1.398064
6,12440,2,IGNIS,0.65,-72,9,3,   boost,-2.35,101365,144.5718389,47.41,31.21,19,3.95,0.02,3.94,51.049238,-1.398055
6,12440,2,IGNIS,0.76,-70,7,3,   boost,-2.46,101310,149.1352327,51.99,30.86,19,3.95,0.01,3.95,51.049247,-1.398045
